Time,O1,H1,L1,C1,V1,O2,H2,L2,C2,V2
2019-01-04 03:29:00 +0800 +08,144.9,144.93,144.46,144.71,24055.758182400004,144.88,144.88,144.68,144.7,10387.686603
2019-01-04 03:30:00 +0800 +08,144.7,145.03,144.7,145,17254.4359014,144.75,144.99,144.72,144.99,12134.262191
2019-01-04 03:31:00 +0800 +08,144.99,145.01,144.88,144.93,17286.784796999997,144.97,145,144.85,144.88,10517.280847999999
2019-01-04 03:32:00 +0800 +08,144.88,144.88,144.41,144.63,14200.7554457,144.87,144.87,144.55,144.55,7377.355681
2019-01-04 03:33:00 +0800 +08,144.58,144.75,144.34,144.56,52382.56031000001,144.59,144.71,144.42,144.56,24365.669637999996
2019-01-04 03:34:00 +0800 +08,144.59,144.72,144.53,144.69,23398.260511599998,144.56,144.68,144.54,144.67,11153.033635000002
2019-01-04 03:35:00 +0800 +08,144.68,144.72,144.07,144.54,24619.309650699997,144.69,144.69,144.35,144.51,11942.011445999999
2019-01-04 03:36:00 +0800 +08,144.59,144.59,144.41,144.55,14648.722432899998,144.59,144.59,144.5,144.53,4040.767112
2019-01-04 03:37:00 +0800 +08,144.5,145.02,144.44,144.96,16540.208300899998,144.54,144.97,144.48,144.97,9793.125613000002
2019-01-04 03:38:00 +0800 +08,145.06,145.16,144.63,144.74,19047.671688299997,145.04,145.1,144.59,144.69,19407.636841999996
2019-01-04 03:39:00 +0800 +08,144.76,144.9,144.6,144.77,8138.170187500001,144.71,144.74,144.63,144.67,7640.045755999999
2019-01-04 03:40:00 +0800 +08,144.79,145.05,144.78,144.99,16512.894225400003,144.72,144.92,144.72,144.92,7138.027195
2019-01-04 03:41:00 +0800 +08,144.99,145,144.91,144.92,10974.963224599998,144.93,144.94,144.8,144.94,5659.036253
2019-01-04 03:42:00 +0800 +08,144.92,144.93,144.86,144.9,11173.943033000001,144.89,144.92,144.74,144.84,2139.660567
2019-01-04 03:43:00 +0800 +08,144.9,144.99,144.89,144.94,17561.2539113,144.83,144.98,144.76,144.77,13872.362141000001
2019-01-04 03:44:00 +0800 +08,144.94,145,144.84,144.89,11913.2265118,144.87,144.9,144.83,144.84,2408.02992
2019-01-04 03:45:00 +0800 +08,144.94,144.96,144.6,144.66,25856.331376099995,144.86,144.88,144.45,144.56,13935.782612
2019-01-04 03:46:00 +0800 +08,144.67,144.88,144.67,144.83,10017.6166035,144.66,144.8,144.62,144.78,1847.3425889999996
2019-01-04 03:47:00 +0800 +08,144.79,144.86,144.72,144.82,13495.176992000002,144.69,144.75,144.68,144.75,867.4226610000001
2019-01-04 03:48:00 +0800 +08,144.85,144.9,144.74,144.85,7889.478746399996,144.78,144.8,144.72,144.77,12301.89219
2019-01-04 03:49:00 +0800 +08,144.85,144.96,144.84,144.91,17756.1527683,144.84,144.84,144.74,144.81,2837.9692200000004
2019-01-04 03:50:00 +0800 +08,144.93,145.11,144.91,145,18241.9264023,144.83,144.97,144.82,144.92,10686.532042
2019-01-04 03:51:00 +0800 +08,145,145.02,144.96,145,7664.1641583,144.86,144.94,144.86,144.88,4724.901484
2019-01-04 03:52:00 +0800 +08,144.97,145.07,144.96,145.03,15508.532903999996,144.84,144.97,144.84,144.91,2930.228963000001
2019-01-04 03:53:00 +0800 +08,145.02,145.07,144.96,145.04,14693.096757299998,144.94,145,144.94,144.95,3656.2302219999997
2019-01-04 03:54:00 +0800 +08,145.03,145.06,144.93,145.04,14168.874174199998,144.96,144.96,144.88,144.94,4949.288897
2019-01-04 03:55:00 +0800 +08,145.04,145.05,145.01,145.04,14061.2994228,144.96,144.97,144.89,144.94,3142.3688710000006
2019-01-04 03:56:00 +0800 +08,145.04,145.08,144.97,145,11642.889003,144.95,144.98,144.88,144.92,3935.888927
2019-01-04 03:57:00 +0800 +08,145.01,145.05,144.97,145,13248.210274700003,144.92,144.96,144.92,144.94,5968.8870670000015
2019-01-04 03:58:00 +0800 +08,145.01,145.16,144.94,145.11,21252.5845212,144.94,145.01,144.93,145.01,11935.241508
2019-01-04 03:59:00 +0800 +08,145.11,145.28,145.04,145.2,13018.255843199999,144.97,145.11,144.97,145.1,3444.8294660000006
2019-01-04 04:00:00 +0800 +08,145.22,145.5,145.16,145.27,14583.943651,145.1,145.29,145.06,145.22,8033.443644
2019-01-04 04:01:00 +0800 +08,145.26,145.4,145.23,145.37,11843.433297700005,145.15,145.34,145.15,145.34,15505.166296999998
2019-01-04 04:02:00 +0800 +08,145.37,145.39,145.12,145.18,7057.801719499998,145.35,145.35,145.07,145.16,10856.176881000001
2019-01-04 04:03:00 +0800 +08,145.24,145.24,144.94,145.13,11377.321735099998,145.16,145.16,144.94,144.94,15222.928847000001
2019-01-04 04:04:00 +0800 +08,145.09,145.31,145.09,145.27,12734.404628799999,145.06,145.23,145.06,145.22,5721.508309999999
2019-01-04 04:05:00 +0800 +08,145.29,145.47,145.26,145.36,10034.218086,145.22,145.34,145.22,145.34,3774.6178600000003
2019-01-04 04:06:00 +0800 +08,145.38,145.46,145.27,145.31,10903.6026748,145.35,145.36,145.22,145.28,9088.702121999999
2019-01-04 04:07:00 +0800 +08,145.3,145.37,145.22,145.3,15186.546799100002,145.25,145.3,145.25,145.25,2821.7488430000003
2019-01-04 04:08:00 +0800 +08,145.31,145.52,145.3,145.52,14305.6281968,145.29,145.37,145.25,145.37,5988.696913000002
2019-01-04 04:09:00 +0800 +08,145.53,145.67,145.44,145.56,23374.1549405,145.44,145.52,145.41,145.47,15923.35813
2019-01-04 04:10:00 +0800 +08,145.67,145.91,145.57,145.73,35052.693839100015,145.48,145.59,145.46,145.58,11292.746022999998
2019-01-04 04:11:00 +0800 +08,145.73,145.85,145.68,145.74,34828.41664170001,145.56,145.66,145.56,145.66,7875.589620999999
2019-01-04 04:12:00 +0800 +08,145.75,145.86,145.71,145.8,16592.9123934,145.63,145.77,145.63,145.64,8364.135619
2019-01-04 04:13:00 +0800 +08,145.84,145.88,145.61,145.8,21635.456700200004,145.65,145.74,145.54,145.65,10570.341188000002
2019-01-04 04:14:00 +0800 +08,145.82,145.89,145.71,145.72,9170.8319525,145.65,145.65,145.56,145.56,5451.470227000001
2019-01-04 04:15:00 +0800 +08,145.71,145.81,145.62,145.8,18974.339672399998,145.56,145.59,145.5,145.59,9056.655847
2019-01-04 04:16:00 +0800 +08,145.75,146,145.75,145.9,13622.807113200004,145.6,145.75,145.6,145.75,5981.909582
2019-01-04 04:17:00 +0800 +08,145.94,146,145.84,145.92,25600.512345400002,145.74,145.79,145.74,145.75,8251.819183
2019-01-04 04:18:00 +0800 +08,145.94,146.01,145.86,145.91,16569.247620000002,145.77,145.85,145.73,145.85,8737.664424999999
2019-01-04 04:19:00 +0800 +08,145.93,146,145.83,145.93,16888.956287600005,145.77,145.81,145.74,145.74,15367.652671000002
2019-01-04 04:20:00 +0800 +08,146,146.03,145.88,145.98,10368.956860900002,145.8,145.86,145.72,145.83,14368.857959000003
2019-01-04 04:21:00 +0800 +08,146.04,146.29,145.93,146.1,29396.6553585,145.87,145.94,145.84,145.91,16908.550140000003
2019-01-04 04:22:00 +0800 +08,146.02,146.24,146.01,146.12,27050.368135299992,145.92,145.96,145.92,145.95,23231.976391
2019-01-04 04:23:00 +0800 +08,146.11,146.28,146.08,146.16,16050.069459400003,145.95,146.07,145.95,146.03,14883.516291999997
2019-01-04 04:24:00 +0800 +08,146.15,146.48,146.15,146.38,19660.179499499995,146,146.25,146,146.19,10438.282284999998
2019-01-04 04:25:00 +0800 +08,146.4,146.6,146.38,146.5,22110.275189099993,146.21,146.37,146.21,146.34,12770.676317
2019-01-04 04:26:00 +0800 +08,146.5,146.76,146.5,146.51,37826.027234600006,146.34,146.47,146.34,146.39,16048.967099
2019-01-04 04:27:00 +0800 +08,146.52,146.67,146.5,146.51,32173.245241900004,146.37,146.47,146.35,146.35,11620.058400999998
2019-01-04 04:28:00 +0800 +08,146.56,146.6,146.5,146.59,16466.246505500003,146.41,146.78,146.35,146.48,19177.611578
2019-01-04 04:29:00 +0800 +08,146.58,146.59,146.53,146.55,17388.459602000003,146.49,146.49,146.43,146.44,12722.718325999998
2019-01-04 04:30:00 +0800 +08,146.54,146.68,146.53,146.6,28026.95545610001,146.42,146.81,146.42,146.52,19742.590109
2019-01-04 04:31:00 +0800 +08,146.65,146.65,146.06,146.15,41182.73224410001,146.52,146.53,146.22,146.22,8677.076422
2019-01-04 04:32:00 +0800 +08,146.16,146.25,146,146.02,22102.445282700002,146.25,146.26,146.14,146.15,15892.792903
2019-01-04 04:33:00 +0800 +08,146.02,146.02,145.88,145.94,23380.03092190001,146.13,146.13,145.86,145.95,12602.390675999997
2019-01-04 04:34:00 +0800 +08,145.94,146.03,145.93,146.03,28493.195861099997,145.95,146.01,145.87,145.94,16441.839425
2019-01-04 04:35:00 +0800 +08,146,146.33,145.99,146.15,15014.885435599996,146.07,146.16,145.98,146.08,14084.550866000003
2019-01-04 04:36:00 +0800 +08,146.16,146.23,146.07,146.11,10396.129736899999,146.08,146.18,146.06,146.11,11881.067344
2019-01-04 04:37:00 +0800 +08,146.12,146.15,146.06,146.07,12187.646381199997,146.09,146.18,146.02,146.05,6951.179126
2019-01-04 04:38:00 +0800 +08,146.09,146.15,146.01,146.01,11592.491280400001,146.05,146.09,146.02,146.03,13208.561611999998
2019-01-04 04:39:00 +0800 +08,146.05,146.14,146.01,146.1,12222.197073500001,146.02,146.09,145.97,146.03,7359.9886750000005
2019-01-04 04:40:00 +0800 +08,146.09,146.13,146.05,146.07,5566.818370200001,146.06,146.06,146.03,146.03,4302.600873999999
2019-01-04 04:41:00 +0800 +08,146.07,146.15,146.02,146.15,7367.255800800002,146,146.06,145.97,146.06,6167.478855999999
2019-01-04 04:42:00 +0800 +08,146.11,146.32,146.09,146.22,10007.064570500002,146.05,146.2,146.05,146.19,11706.096274
2019-01-04 04:43:00 +0800 +08,146.2,146.34,146.2,146.33,13238.931018899997,146.17,146.29,146.16,146.29,3017.742151
2019-01-04 04:44:00 +0800 +08,146.27,146.41,146.27,146.39,13479.919462399997,146.28,146.31,146.23,146.28,5575.849349000001
2019-01-04 04:45:00 +0800 +08,146.39,146.44,146.31,146.34,14908.8798141,146.28,146.33,146.27,146.28,12824.792732
2019-01-04 04:46:00 +0800 +08,146.36,146.43,146.31,146.4,15981.729112799998,146.28,146.35,146.28,146.34,15757.671585999999
2019-01-04 04:47:00 +0800 +08,146.4,146.77,146.4,146.56,15067.5403432,146.34,146.52,146.34,146.49,10374.549871999998
2019-01-04 04:48:00 +0800 +08,146.58,146.7,146.56,146.64,18500.392055499993,146.48,146.56,146.45,146.54,17366.161751
2019-01-04 04:49:00 +0800 +08,146.65,146.78,146.62,146.73,17182.127830700003,146.52,146.69,146.51,146.56,19700.454758
2019-01-04 04:50:00 +0800 +08,146.72,146.97,146.72,146.88,22776.97501939999,146.67,146.82,146.62,146.78,20397.850387000002
2019-01-04 04:51:00 +0800 +08,147,147,146.75,146.75,21336.047497200005,146.79,146.79,146.67,146.67,22574.460860000003
2019-01-04 04:52:00 +0800 +08,146.74,146.88,146.69,146.83,10308.573922599999,146.69,146.73,146.62,146.66,14340.166686999999
2019-01-04 04:53:00 +0800 +08,146.86,147.45,146.75,147.45,44600.127664900014,146.66,147.33,146.36,147.33,28875.571167000006
2019-01-04 04:54:00 +0800 +08,147.37,147.87,147.17,147.26,41275.99753850002,147.2,147.37,147.12,147.15,29183.584795000006
2019-01-04 04:55:00 +0800 +08,147.3,147.5,147.3,147.38,18328.438322499995,147.15,147.32,147.15,147.25,11087.381534999997
2019-01-04 04:56:00 +0800 +08,147.36,147.61,147.36,147.52,11028.8248231,147.24,147.45,147.22,147.41,12563.742992
2019-01-04 04:57:00 +0800 +08,147.53,147.6,147.48,147.6,17809.7047174,147.4,147.45,147.37,147.38,9738.429028
2019-01-04 04:58:00 +0800 +08,147.53,147.86,147.5,147.82,40768.7493208,147.39,147.75,147.39,147.72,14473.248504000005
2019-01-04 04:59:00 +0800 +08,147.81,148.04,147.81,148.01,23271.558143500006,147.72,147.8,147.72,147.8,18691.753367
2019-01-04 05:00:00 +0800 +08,148,148.12,147.88,147.89,32464.670060400003,147.8,147.8,147.7,147.77,12036.961913000001
2019-01-04 05:01:00 +0800 +08,147.89,147.89,147,147.2,41095.654771500005,147.73,147.77,146.98,147.13,27589.142524999996
2019-01-04 05:02:00 +0800 +08,147.26,147.35,147.06,147.25,23290.392382499995,147.23,147.24,147.11,147.12,14782.200008000009
2019-01-04 05:03:00 +0800 +08,147.25,147.36,147.25,147.28,17816.8062218,147.17,147.24,147.07,147.13,10939.067413
2019-01-04 05:04:00 +0800 +08,147.27,147.27,146.99,147.08,21757.328091500003,147.14,147.18,146.96,147.02,13725.773026
2019-01-04 05:05:00 +0800 +08,147.08,147.17,147.04,147.15,25309.167668299997,147.05,147.1,147.03,147.05,8759.236245999995
2019-01-04 05:06:00 +0800 +08,147.16,147.2,147.15,147.15,18352.360732300003,147.05,147.07,146.99,146.99,15049.163675999998
2019-01-04 05:07:00 +0800 +08,147.15,147.16,147.1,147.15,10809.527147799996,147,147.13,147,147.06,19217.805608000002
2019-01-04 05:08:00 +0800 +08,147.09,147.22,147.09,147.2,16977.645880500004,147.06,147.14,147.06,147.14,5600.304006
2019-01-04 05:09:00 +0800 +08,147.28,147.32,147.2,147.28,14062.1160288,147.14,147.25,147.12,147.22,10434.058621
2019-01-04 05:10:00 +0800 +08,147.26,147.43,147.26,147.32,11070.825421299998,147.22,147.28,147.2,147.23,12408.480705
2019-01-04 05:11:00 +0800 +08,147.32,147.47,147.29,147.42,31850.636047800002,147.22,147.34,147,147.34,16326.381430999998
2019-01-04 05:12:00 +0800 +08,147.45,147.54,147.41,147.47,21318.89014319999,147.32,147.42,147.32,147.41,12853.177723999997
2019-01-04 05:13:00 +0800 +08,147.47,147.52,147.47,147.47,30146.7157333,147.39,147.41,147.32,147.32,18901.298872000003
2019-01-04 05:14:00 +0800 +08,147.49,147.49,147.4,147.47,13290.215772199997,147.32,147.37,147.18,147.37,9962.046856999998
2019-01-04 05:15:00 +0800 +08,147.49,147.5,147.42,147.42,9600.950602299998,147.37,147.37,147.29,147.34,13519.227614000001
2019-01-04 05:16:00 +0800 +08,147.4,147.47,147.3,147.4,9265.212117099996,147.35,147.38,147.25,147.31,17378.538736999995
2019-01-04 05:17:00 +0800 +08,147.42,147.45,147.33,147.33,13243.157171999996,147.32,147.34,147.17,147.17,4225.248506000001
2019-01-04 05:18:00 +0800 +08,147.35,147.35,147.28,147.33,19658.207784,147.23,147.28,147.21,147.23,4908.505914999999
2019-01-04 05:19:00 +0800 +08,147.33,147.36,147.23,147.32,18650.099014,147.22,147.27,147.12,147.15,6442.623686
2019-01-04 05:20:00 +0800 +08,147.31,147.36,147.31,147.32,17836.852450999995,147.16,147.18,147.06,147.14,7849.022022
2019-01-04 05:21:00 +0800 +08,147.36,147.47,147.23,147.47,14924.207355400002,147.13,147.23,147.09,147.16,9687.588442
2019-01-04 05:22:00 +0800 +08,147.38,147.56,147.33,147.33,17655.559037099996,147.17,147.25,147.15,147.2,10874.543609
2019-01-04 05:23:00 +0800 +08,147.33,147.39,147.2,147.32,14504.620929600002,147.16,147.24,147.09,147.17,18280.172101
2019-01-04 05:24:00 +0800 +08,147.31,147.41,147.31,147.37,15043.421538000004,147.2,147.27,147.19,147.25,17217.468038000003
2019-01-04 05:25:00 +0800 +08,147.43,147.43,147.31,147.31,11999.425576099999,147.25,147.28,147.25,147.26,11979.741418999998
2019-01-04 05:26:00 +0800 +08,147.35,147.42,147.23,147.27,25844.058665700002,147.27,147.27,147.12,147.14,6689.277796
2019-01-04 05:27:00 +0800 +08,147.29,147.29,146.96,147.11,15268.663324099996,147.14,147.14,147,147.01,17387.012678
2019-01-04 05:28:00 +0800 +08,147.15,147.2,146.74,146.83,26856.508426499993,147,147.05,146.76,146.79,3851.9564769999997
2019-01-04 05:29:00 +0800 +08,146.82,146.96,146.73,146.8,16093.127763499997,146.79,146.79,146.68,146.68,7337.305889
2019-01-04 05:30:00 +0800 +08,146.86,146.96,146.8,146.89,21201.887084100003,146.69,146.81,146.69,146.74,9665.354072000002
2019-01-04 05:31:00 +0800 +08,146.89,147.04,146.89,146.96,21054.857364,146.8,146.88,146.79,146.88,11800.301706000002
2019-01-04 05:32:00 +0800 +08,146.97,147.02,146.92,146.92,24226.95281990001,146.93,146.97,146.79,146.79,15599.957968000002
2019-01-04 05:33:00 +0800 +08,146.82,146.99,146.69,146.87,16856.004721,146.83,146.91,146.77,146.87,7319.532958000002
2019-01-04 05:34:00 +0800 +08,146.79,146.94,146.73,146.83,20061.737935900004,146.83,146.88,146.79,146.84,5274.318143
2019-01-04 05:35:00 +0800 +08,146.84,146.87,146.8,146.83,11145.387913300001,146.83,146.84,146.77,146.8,4220.6298050000005
2019-01-04 05:36:00 +0800 +08,146.83,146.87,146.8,146.84,9094.9859361,146.79,146.79,146.78,146.78,2665.65838
2019-01-04 05:37:00 +0800 +08,146.87,146.95,146.85,146.92,13974.0774767,146.8,146.85,146.76,146.85,5688.765195000001
2019-01-04 05:38:00 +0800 +08,146.92,147,146.9,146.9,13989.045107100002,146.86,146.9,146.71,146.79,7553.295819000001
2019-01-04 05:39:00 +0800 +08,146.9,147,146.81,146.82,14043.9055271,146.86,146.88,146.7,146.78,9919.533574000001
2019-01-04 05:40:00 +0800 +08,146.82,146.86,146.77,146.78,19591.48333910001,146.75,146.78,146.65,146.7,8343.844523
2019-01-04 05:41:00 +0800 +08,146.78,146.81,146.71,146.75,14093.649915900001,146.69,146.69,146.6,146.64,6788.889794
2019-01-04 05:42:00 +0800 +08,146.75,146.76,146.62,146.65,19157.0405926,146.66,146.66,146.5,146.51,11778.513573999999
2019-01-04 05:43:00 +0800 +08,146.69,146.7,146.62,146.64,14435.198545999996,146.55,146.55,146.47,146.47,8155.675783
2019-01-04 05:44:00 +0800 +08,146.67,146.67,146.07,146.26,16955.8304348,146.51,146.52,146.03,146.03,19775.568744999997
2019-01-04 05:45:00 +0800 +08,146.18,146.25,145.84,145.93,18610.6864349,146.09,146.09,145.75,145.75,33976.467776000005
2019-01-04 05:46:00 +0800 +08,145.8,146.09,145.75,146.03,28256.917376799982,145.81,145.89,145.67,145.89,19497.171871
2019-01-04 05:47:00 +0800 +08,145.97,146.16,145.95,146.08,13944.653421400002,145.89,146.05,145.88,145.95,19223.818346000007
2019-01-04 05:48:00 +0800 +08,146.07,147,146.07,146.83,35219.69713169999,145.91,146.69,145.91,146.65,28884.250855999995
2019-01-04 05:49:00 +0800 +08,146.82,147.83,146.64,147.18,40673.51666599999,146.63,146.94,146.43,146.94,21956.598086999995
2019-01-04 05:50:00 +0800 +08,147.14,147.96,146.88,147.14,41514.67072519998,146.85,147.05,146.6,146.74,19556.437299999998
2019-01-04 05:51:00 +0800 +08,146.99,147.16,146.99,147.03,35535.850610199996,146.74,146.93,146.7,146.85,12272.33335
2019-01-04 05:52:00 +0800 +08,147.03,147.14,146.93,147.08,15405.626127999994,146.81,146.9,146.78,146.78,15615.442542999997
2019-01-04 05:53:00 +0800 +08,147.03,147.12,146.92,147.07,10280.534968999998,146.82,146.86,146.77,146.85,3760.3798850000003
2019-01-04 05:54:00 +0800 +08,147.08,147.1,147.03,147.04,8488.8539335,146.87,146.87,146.81,146.84,12495.648869
2019-01-04 05:55:00 +0800 +08,147.05,147.08,146.96,146.99,12285.926213299997,146.83,146.85,146.82,146.82,11739.706881
2019-01-04 05:56:00 +0800 +08,146.99,147.05,146.97,147,13083.5461735,146.81,146.87,146.81,146.87,18182.003603999998
2019-01-04 05:57:00 +0800 +08,147.02,147.21,147,147.08,16352.035854400003,146.84,146.97,146.84,146.92,20791.492249
2019-01-04 05:58:00 +0800 +08,147.1,147.45,147.1,147.11,18637.0193725,146.97,147.04,146.93,147.04,25207.988269
2019-01-04 05:59:00 +0800 +08,147.14,147.15,147.03,147.06,30464.0078269,147.03,147.05,147.01,147.01,5966.589932
2019-01-04 06:00:00 +0800 +08,147.08,147.16,147.05,147.13,10915.004119700001,146.99,147.03,146.97,147.03,17391.801878000002
2019-01-04 06:01:00 +0800 +08,147.11,147.25,146.96,146.99,20508.3460976,147.03,147.06,146.95,146.95,14575.017788999996
2019-01-04 06:02:00 +0800 +08,146.99,146.99,146.24,146.3,33567.5703464,146.91,146.92,146.28,146.33,20051.417775999995
2019-01-04 06:03:00 +0800 +08,146.29,146.33,146.03,146.03,37076.386512000005,146.3,146.31,145.97,146.05,13107.040119999998
2019-01-04 06:04:00 +0800 +08,146.02,146.04,145.91,146.04,15400.470276599997,146,146.06,145.87,145.94,19765.878444999995
2019-01-04 06:05:00 +0800 +08,146.01,146.34,146.01,146.27,31808.412245599997,145.97,146.29,145.97,146.19,11750.813688999999
2019-01-04 06:06:00 +0800 +08,146.24,146.35,146.22,146.3,12576.466176400001,146.21,146.3,146.16,146.24,10414.40638
2019-01-04 06:07:00 +0800 +08,146.33,146.33,146.22,146.26,26701.056700299996,146.3,146.31,146.21,146.21,30015.807683000003
2019-01-04 06:08:00 +0800 +08,146.26,146.35,146.22,146.29,19655.377053000007,146.21,146.31,146.21,146.31,6947.12655
2019-01-04 06:09:00 +0800 +08,146.29,146.37,146.27,146.29,24548.90749589999,146.26,146.33,146.22,146.22,6098.880311000001
2019-01-04 06:10:00 +0800 +08,146.31,146.44,146.28,146.44,99756.4395517,146.24,146.32,146.19,146.32,16818.345364
2019-01-04 06:11:00 +0800 +08,146.45,146.68,146.45,146.61,23534.333661900004,146.36,146.55,146.36,146.52,18612.655663000005
2019-01-04 06:12:00 +0800 +08,146.64,146.65,146.52,146.61,27054.187682400006,146.54,146.59,146.5,146.56,13390.40564
2019-01-04 06:13:00 +0800 +08,146.61,146.68,146.6,146.65,25025.714805400003,146.51,146.62,146.51,146.58,15938.537102
2019-01-04 06:14:00 +0800 +08,146.64,146.71,146.62,146.66,22685.170394900004,146.58,146.62,146.54,146.59,17243.995811000004
2019-01-04 06:15:00 +0800 +08,146.66,146.75,146.65,146.68,14693.3654463,146.58,146.69,146.53,146.69,17685.078790999996
2019-01-04 06:16:00 +0800 +08,146.61,146.71,146.57,146.58,15876.1472042,146.63,146.63,146.5,146.53,18219.397617000002
2019-01-04 06:17:00 +0800 +08,146.58,146.6,146.49,146.49,14125.613291800002,146.53,146.56,146.49,146.5,5835.357502999999
2019-01-04 06:18:00 +0800 +08,146.49,146.51,146.31,146.45,23778.227122100005,146.5,146.5,146.38,146.4,17371.212791
2019-01-04 06:19:00 +0800 +08,146.51,146.59,146.48,146.57,18303.4978937,146.41,146.47,146.39,146.44,26142.45884000001
2019-01-04 06:20:00 +0800 +08,146.57,146.68,146.53,146.63,17057.841536099997,146.47,146.5,146.44,146.5,7964.451163999999
2019-01-04 06:21:00 +0800 +08,146.63,146.74,146.63,146.72,25108.077408399997,146.48,146.57,146.47,146.57,7354.7735420000035
2019-01-04 06:22:00 +0800 +08,146.73,146.77,146.72,146.74,10948.385416499998,146.58,146.61,146.58,146.61,3939.4538350000003
2019-01-04 06:23:00 +0800 +08,146.74,146.81,146.72,146.75,18901.769594600006,146.61,146.71,146.59,146.71,5701.4509370000005
2019-01-04 06:24:00 +0800 +08,146.79,146.81,146.77,146.79,8173.659124600001,146.65,146.68,146.65,146.68,8677.058303
2019-01-04 06:25:00 +0800 +08,146.79,146.83,146.76,146.76,12685.826667299998,146.71,146.74,146.68,146.72,4831.191433000001
2019-01-04 06:26:00 +0800 +08,146.76,146.83,146.76,146.8,12375.035679800003,146.7,146.78,146.7,146.7,2821.054593
2019-01-04 06:27:00 +0800 +08,146.76,146.83,146.56,146.81,15862.4162183,146.69,146.77,146.69,146.69,3472.540982
2019-01-04 06:28:00 +0800 +08,146.83,146.88,146.78,146.86,13295.4681528,146.7,146.74,146.65,146.74,5239.2172009999995
2019-01-04 06:29:00 +0800 +08,146.87,146.88,146.79,146.84,9877.685956,146.75,146.75,146.72,146.72,1543.4364090000001
2019-01-04 06:30:00 +0800 +08,146.84,146.85,146.75,146.76,9425.4552981,146.72,146.75,146.69,146.72,5452.579551999998
2019-01-04 06:31:00 +0800 +08,146.78,146.8,146.76,146.8,7783.153487199998,146.75,146.77,146.71,146.75,4566.535373999999
2019-01-04 06:32:00 +0800 +08,146.8,146.84,146.75,146.81,5553.0773571,146.79,146.81,146.75,146.81,10368.369526999997
2019-01-04 06:33:00 +0800 +08,146.84,146.92,146.79,146.88,8655.3927434,146.76,146.86,146.76,146.86,10756.016838
2019-01-04 06:34:00 +0800 +08,146.88,146.96,146.87,146.93,8480.4748487,146.84,146.93,146.83,146.88,1583.9328730000002
2019-01-04 06:35:00 +0800 +08,146.93,147.12,146.93,147.11,9097.252240100002,146.88,147.03,146.88,147.03,1637.1327679999997
2019-01-04 06:36:00 +0800 +08,147.11,147.31,147.11,147.31,16768.13772859999,147.03,147.25,147.03,147.25,17173.589310999996
2019-01-04 06:37:00 +0800 +08,147.35,147.66,147.28,147.4,15797.2900278,147.2,147.3,147.2,147.27,19787.841672000006
2019-01-04 06:38:00 +0800 +08,147.38,147.51,147.33,147.33,14394.9657818,147.27,147.33,147.22,147.33,14995.298995000001
2019-01-04 06:39:00 +0800 +08,147.33,147.33,147.22,147.27,16312.926930900001,147.32,147.32,147.2,147.21,6269.466824999999
2019-01-04 06:40:00 +0800 +08,147.26,147.31,147.2,147.26,12660.935497499999,147.22,147.24,147.1,147.11,10315.343779
2019-01-04 06:41:00 +0800 +08,147.25,147.26,147.22,147.23,11939.3899722,147.1,147.18,147.08,147.12,18655.529375000006
2019-01-04 06:42:00 +0800 +08,147.23,147.23,147.19,147.2,19549.465134,147.13,147.13,147.1,147.1,5559.173314000001
2019-01-04 06:43:00 +0800 +08,147.23,147.55,147.17,147.43,25570.149239900013,147.1,147.3,147.08,147.3,10607.581529
2019-01-04 06:44:00 +0800 +08,147.46,147.5,147.38,147.48,11805.8471286,147.3,147.3,147.29,147.3,172.94479000000004
2019-01-04 06:45:00 +0800 +08,147.44,147.65,147.22,147.57,13101.742886699994,147.3,147.3,147.19,147.29,16474.382519
2019-01-04 06:46:00 +0800 +08,147.6,147.66,147.53,147.63,13802.444205499994,147.3,147.42,147.3,147.42,9759.250165000001
2019-01-04 06:47:00 +0800 +08,147.65,147.69,147.56,147.59,15505.723378999995,147.48,147.48,147.39,147.45,7126.024499000001
2019-01-04 06:48:00 +0800 +08,147.57,147.74,147.56,147.59,7902.9653088000005,147.45,147.5,147.32,147.32,8798.449340000001
2019-01-04 06:49:00 +0800 +08,147.61,147.64,147.5,147.57,20141.401442399998,147.42,147.48,147.38,147.38,11464.201245999995
2019-01-04 06:50:00 +0800 +08,147.55,147.6,147.47,147.56,9531.734657999998,147.45,147.48,147.26,147.44,4674.733165000001
2019-01-04 06:51:00 +0800 +08,147.55,147.57,147.34,147.48,8405.1314161,147.38,147.44,147.31,147.31,4642.334712
2019-01-04 06:52:00 +0800 +08,147.5,147.51,147.47,147.49,15600.2224279,147.32,147.41,147.32,147.41,16301.941496999998
2019-01-04 06:53:00 +0800 +08,147.47,147.5,147.4,147.48,8103.843800199999,147.38,147.4,147.36,147.38,13839.353795
2019-01-04 06:54:00 +0800 +08,147.48,147.58,147.48,147.57,9274.9956929,147.38,147.44,147.38,147.44,8942.802269
2019-01-04 06:55:00 +0800 +08,147.57,147.7,147.56,147.67,9549.7805573,147.49,147.56,147.44,147.56,13854.359892999999
2019-01-04 06:56:00 +0800 +08,147.7,147.84,147.69,147.79,9612.260526900005,147.57,147.66,147.57,147.59,7081.180797
2019-01-04 06:57:00 +0800 +08,147.77,147.84,147.67,147.67,14670.8655697,147.66,147.66,147.61,147.64,9374.51445
