Time,O1,H1,L1,C1,V1,O2,H2,L2,C2,V2
2019-01-04 00:48:00 +0800 +08,144.89,144.9,144.7,144.74,88391.94889000006,145.23,145.23,145,145.03,17375.932556999996
2019-01-04 00:49:00 +0800 +08,144.74,144.99,144.69,144.9,24528.198986099997,145.04,145.28,145,145.15,17155.790057
2019-01-04 00:50:00 +0800 +08,144.83,144.92,144.69,144.74,35051.95322670001,145.09,145.24,145.03,145.03,12101.106931000002
2019-01-04 00:51:00 +0800 +08,144.75,144.81,144.63,144.72,25423.784520500005,145.03,145.11,145,145.06,16179.194924
2019-01-04 00:52:00 +0800 +08,144.72,144.77,144.04,144.18,18224.2479814,145.01,145.01,144.33,144.44,23807.565302999996
2019-01-04 00:53:00 +0800 +08,144.21,144.21,143.71,143.72,48248.20477689999,144.5,144.5,144.07,144.09,26430.480284
2019-01-04 00:54:00 +0800 +08,143.73,143.75,143.33,143.7,36346.38859140001,144.12,144.12,143.82,144.12,23648.892959000004
2019-01-04 00:55:00 +0800 +08,143.72,143.88,143.6,143.87,42667.3670016,144.12,144.22,143.83,144.22,23440.898759000003
2019-01-04 00:56:00 +0800 +08,143.91,144.2,143.79,144.2,23153.924055499992,144.22,144.42,144.22,144.41,24972.357574
2019-01-04 00:57:00 +0800 +08,144.2,144.3,143.88,143.93,45565.42956100001,144.41,144.5,144.23,144.34,23496.037965
2019-01-04 00:58:00 +0800 +08,143.94,144.05,143.73,143.87,25605.5501246,144.21,144.31,144.1,144.12,29059.782887999994
2019-01-04 00:59:00 +0800 +08,143.84,143.98,143.84,143.94,30987.174244399997,144.14,144.29,144.13,144.16,29482.874452999993
2019-01-04 01:00:00 +0800 +08,143.95,144,143.88,143.95,60541.491449,144.27,144.29,144.16,144.22,14440.268863
2019-01-04 01:01:00 +0800 +08,143.95,144.03,143.72,143.9,26078.400336500003,144.19,144.28,144.1,144.1,32036.31387200001
2019-01-04 01:02:00 +0800 +08,143.88,143.9,143.65,143.76,38360.97593239999,144.1,144.18,144.05,144.05,26587.501416000003
2019-01-04 01:03:00 +0800 +08,143.76,143.81,143.11,143.45,26766.272234699998,144.03,144.08,143.77,143.77,26508.742543000004
2019-01-04 01:04:00 +0800 +08,143.33,143.5,143.33,143.5,31241.57697770001,143.77,143.99,143.62,143.77,30172.92477
2019-01-04 01:05:00 +0800 +08,143.5,143.83,143.5,143.79,40784.486783800014,143.83,144.19,143.83,144.13,28304.534947000007
2019-01-04 01:06:00 +0800 +08,143.82,144.2,143.79,144.2,60619.43640459999,144.17,144.56,144.17,144.47,24944.404998
2019-01-04 01:07:00 +0800 +08,144.2,144.71,144.2,144.55,39295.2584639,144.59,144.91,144.47,144.91,23101.633469000008
2019-01-04 01:08:00 +0800 +08,144.55,144.75,144.53,144.59,44256.808711500016,144.91,145.14,144.91,145.08,35647.830564
2019-01-04 01:09:00 +0800 +08,144.57,144.6,144.24,144.39,44876.8003765,144.88,145.05,144.6,144.74,28336.189134999997
2019-01-04 01:10:00 +0800 +08,144.42,144.53,144.37,144.44,50555.76243240001,144.81,145.1,144.68,144.9,18248.520585
2019-01-04 01:11:00 +0800 +08,144.44,144.69,144.43,144.64,31391.698177499988,144.99,145.14,144.86,145.06,11408.046211
2019-01-04 01:12:00 +0800 +08,144.69,144.74,144.61,144.63,27425.153304199986,145,145.19,145,145.08,17021.565799999997
2019-01-04 01:13:00 +0800 +08,144.61,144.74,144.51,144.66,31130.667815099994,145.09,145.11,145.02,145.08,15579.409996
2019-01-04 01:14:00 +0800 +08,144.66,144.7,144.07,144.2,36113.6322655,145.08,145.09,144.52,144.72,24878.091072
2019-01-04 01:15:00 +0800 +08,144,144.17,143.83,143.97,35327.49624879999,144.59,144.64,144.22,144.28,32234.361987
2019-01-04 01:16:00 +0800 +08,143.99,144.18,143.92,144.14,51919.70961799999,144.33,144.55,144.32,144.55,11287.13111
2019-01-04 01:17:00 +0800 +08,144.13,144.53,144.03,144.53,34980.35475300001,144.51,144.88,144.5,144.82,19938.741765000006
2019-01-04 01:18:00 +0800 +08,144.5,144.77,144.5,144.76,50465.56781149998,144.88,145.13,144.87,145.13,19230.859637999998
2019-01-04 01:19:00 +0800 +08,144.69,144.8,144.5,144.56,55859.74363500002,145.18,145.22,144.95,145,20581.421445
2019-01-04 01:20:00 +0800 +08,144.56,144.59,144.36,144.43,19356.783427600007,145.01,145.04,144.75,144.82,12622.354230999998
2019-01-04 01:21:00 +0800 +08,144.43,144.54,144.42,144.48,22883.214276600003,144.84,144.95,144.84,144.86,14188.081617999998
2019-01-04 01:22:00 +0800 +08,144.48,144.5,144.35,144.49,20014.0020398,144.84,144.96,144.84,144.94,19157.203265000004
2019-01-04 01:23:00 +0800 +08,144.5,144.58,144.42,144.54,33620.760021599985,144.94,144.96,144.88,144.9,9572.222371
2019-01-04 01:24:00 +0800 +08,144.55,144.71,144.52,144.69,23127.602841199994,144.96,145.13,144.96,145.05,9862.156835
2019-01-04 01:25:00 +0800 +08,144.68,144.78,144.68,144.76,24434.7253171,145.05,145.16,145.05,145.16,8288.765599
2019-01-04 01:26:00 +0800 +08,144.75,145.26,144.74,145.21,41184.9652111,145.21,145.47,145.12,145.39,25074.640779999998
2019-01-04 01:27:00 +0800 +08,145.24,145.32,145.2,145.3,43308.030584800006,145.39,145.48,145.39,145.45,27592.040399
2019-01-04 01:28:00 +0800 +08,145.26,145.3,145.09,145.18,52498.50012770001,145.45,145.45,145.22,145.23,9313.440177999999
2019-01-04 01:29:00 +0800 +08,145.2,145.2,145.09,145.17,35897.92111129999,145.24,145.38,145.24,145.38,16378.125810000001
2019-01-04 01:30:00 +0800 +08,145.17,145.18,145.1,145.15,20311.324597699997,145.41,145.41,145.34,145.36,3957.2698349999996
2019-01-04 01:31:00 +0800 +08,145.15,145.23,145.14,145.16,31119.4459309,145.31,145.31,145.28,145.31,8831.766263999998
2019-01-04 01:32:00 +0800 +08,145.15,145.25,144.91,145.08,32293.3358286,145.32,145.34,145.32,145.32,12168.4142
2019-01-04 01:33:00 +0800 +08,145.09,145.1,144.95,145.01,20936.997035200002,145.22,145.22,145.19,145.19,18808.314121
2019-01-04 01:34:00 +0800 +08,145,145.09,144.93,145.09,28135.2017074,145.19,145.21,145.17,145.2,11140.247999000001
2019-01-04 01:35:00 +0800 +08,145.1,145.2,145.09,145.12,28170.636817,145.21,145.28,145.21,145.26,5515.505744000001
2019-01-04 01:36:00 +0800 +08,145.13,145.13,145.01,145.11,24759.284444999998,145.26,145.26,145.26,145.26,1524.4601220000002
2019-01-04 01:37:00 +0800 +08,145.1,145.12,145.07,145.09,16348.67737,145.26,145.29,145.2,145.29,6511.086899000001
2019-01-04 01:38:00 +0800 +08,145.06,145.32,145.06,145.27,27826.306442900004,145.19,145.39,145.19,145.35,17252.752041
2019-01-04 01:39:00 +0800 +08,145.25,145.32,145.22,145.32,21907.483329400002,145.36,145.38,145.32,145.36,17771.061174000002
2019-01-04 01:40:00 +0800 +08,145.32,145.42,145.23,145.35,26753.104824899994,145.36,145.45,145.2,145.36,19719.436295000003
2019-01-04 01:41:00 +0800 +08,145.31,145.49,145.3,145.39,39449.72693440001,145.36,145.53,145.36,145.37,23261.362834999996
2019-01-04 01:42:00 +0800 +08,145.38,145.43,145.01,145.2,38251.2374061,145.44,145.51,145.26,145.26,23149.460649000004
2019-01-04 01:43:00 +0800 +08,145.19,145.2,145,145.09,31493.475543,145.26,145.32,145.2,145.26,28723.011489
2019-01-04 01:44:00 +0800 +08,145.12,145.2,145.03,145.13,22807.013253999998,145.22,145.28,145.2,145.28,9845.293094
2019-01-04 01:45:00 +0800 +08,145.17,145.22,145.11,145.16,35913.9391559,145.3,145.33,145.28,145.32,9551.71903
2019-01-04 01:46:00 +0800 +08,145.19,145.2,145.03,145.04,16197.726771800002,145.32,145.32,145.23,145.23,13432.899384
2019-01-04 01:47:00 +0800 +08,145.04,145.05,144.98,144.99,21613.885392099997,145.23,145.23,145.08,145.13,9531.257429000001
2019-01-04 01:48:00 +0800 +08,144.98,145.06,144.95,144.99,19550.7180212,145.12,145.16,145.06,145.12,14077.590930000002
2019-01-04 01:49:00 +0800 +08,144.97,145.02,144.81,144.93,25234.7673535,145.12,145.16,144.97,144.97,7433.355203
